#                   file   nse gr rec1 rec2     id1     id2  n_avr a_max a  m  f  g asun_sca asmi_sca pro_sca asun_sol asmi_sol pro_sol      Ls      obs      ifg               utc_start
#                      1     2  3    4    5       6       7      8     910 11 12 13       14       15      16       17       18      19      20       21       22                      23
0A2601_2018-174T18-09-22  2598  5 2364 3282   30717   31635  26327 16668 1  5  4  2  145.258  145.180   0.000    0.436    0.433 100.000 198.637 OCC_SOL  SHORT    2018-JUN-23-19:53:20.58
0A2A01_2018-175T02-00-48  2602  3 1071 1953   86009   86891  26318 16566 1  5  4  2  145.272  145.270   0.000    0.430    0.429 100.000 198.816 OCC_SOL  SHORT    2018-JUN-24-03:08:44.48
0A2A01_2018-175T02-00-48  2602  5 2386 3333   90361   91308  26318 16449 1  5  4  2  145.271  145.268   0.000    0.436    0.434 100.000 198.831 OCC_SOL  SHORT    2018-JUN-24-03:44:24.53
0A2C01_2018-175T05-56-34  2604  3 1073 1967  115682  116576  26322 16602 1  5  4  2  145.360  145.357   0.000    0.430    0.428 100.000 198.914 OCC_SOL  SHORT    2018-JUN-24-07:04:43.47
0A2C01_2018-175T05-56-34  2604  5 2392 3353  119984  120945  26323 16540 1  5  4  2  145.271  145.268   0.000    0.436    0.434 100.000 198.928 OCC_SOL  SHORT    2018-JUN-24-07:40:03.53
0A3001_2018-175T13-48-07  2608  3 1079 2004  175395  176320  26326 16814 1  5  4  2  145.272  145.269   0.000    0.430    0.428 100.000 199.108 OCC_SOL  SHORT    2018-JUN-24-14:56:23.55
0A3001_2018-175T13-48-07  2608  5 2413 3408  179600  180595  26327 16709 1  5  4  2  145.271  145.268   0.000    0.436    0.433 100.000 199.122 OCC_SOL  SHORT    2018-JUN-24-15:31:07.63
0A3201_2018-175T17-43-52  2610  3 1075 2014  204997  205936  26329 16838 1  5  4  2  145.360  145.358   0.000    0.430    0.428 100.000 199.205 OCC_SOL  SHORT    2018-JUN-24-18:52:18.67
0A3201_2018-175T17-43-52  2610  5 2419 3428  209172  210181  26330 16793 1  5  4  2  145.183  145.180   0.000    0.436    0.433 100.000 199.219 OCC_SOL  SHORT    2018-JUN-24-19:26:39.45
0A3501_2018-175T23-37-32  2613  3 1077 2042  249618  250583  26332 16990 1  5  4  2  145.448  145.445   0.000    0.430    0.428 100.000 199.351 OCC_SOL  SHORT    2018-JUN-25-00:46:08.66
0A3501_2018-175T23-37-32  2613  5 2435 3472  253732  254769  26343 16973 1  5  4  2  145.271  145.268   0.000    0.436    0.433 100.000 199.365 OCC_SOL  SHORT    2018-JUN-25-01:20:00.58
0A4201_2018-177T01-09-57  2626  3 1091 2196  443536  444641  26340 17090 1  5  4  2  145.271  145.270   0.000    0.430    0.429 100.000 199.984 OCC_SOL  SHORT    2018-JUN-26-02:19:21.66
0A4201_2018-177T01-09-57  2626  5 2529 3711  447305  448487  26341 17055 1  5  4  2  145.271  145.268   0.000    0.435    0.433 100.000 199.997 OCC_SOL  SHORT    2018-JUN-26-02:50:33.63
0A5301_2018-178T10-34-00  2643  3 1119 2562  692166  693609  26339 17076 1  5  4  2  145.271  145.269   0.000    0.430    0.428 100.000 200.814 OCC_SOL  SHORT    2018-JUN-27-11:45:03.58
0A5501_2018-178T14-29-43  2645  3 1121 2627  720329  721835  26336 17105 1  5  4  2  145.246  145.181   0.000    0.430    0.428 100.000 200.911 OCC_SOL  SHORT    2018-JUN-27-15:40:55.64
0B1C01_2018-194T20-17-17  2844  3 1077 6043 1122023 1126989  26445 17604 1  5  4  2  145.186  143.780   0.000    0.438    0.436 100.000 210.702 OCC_SOL  SHORT    2018-JUL-13-21:27:40.49
0B1E01_2018-195T00-13-01  2846  3 1075 6266 1151503 1156464  26445 17640 1  5  4  2  145.278  145.272   0.000    0.438    0.436 100.000 210.801 OCC_SOL  SHORT    2018-JUL-14-01:23:11.60
0B2101_2018-195T06-06-48  2849  3 1067 2698 1195572 1197203  26454 17675 1  5  4  2  145.275  145.273   0.000    0.439    0.437 100.000 210.951 OCC_SOL  SHORT    2018-JUL-14-07:16:38.79
0B2101_2018-195T06-06-48  2849  5 2869 4411 1198580 1200122  26459 17589 1  5  4  2  145.279  145.279   0.000    0.437    0.436 100.000 210.962 OCC_SOL  SHORT    2018-JUL-14-07:41:31.83
0B2C01_2018-196T03-43-33  2860  3  525 1860   42873   44208  26366 17462 1  5  4  2  145.187  145.184   0.000    0.439    0.438 100.000 211.500 OCC_SOL  SHORT    2018-JUL-15-04:52:25.69
0B2C01_2018-196T03-43-33  2860  5 1993 3246   45277   46530  26365 17418 1  5  4  2  145.279  145.278   0.000    0.436    0.435 100.000 211.512 OCC_SOL  SHORT    2018-JUL-15-05:21:27.66
0B2E01_2018-196T07-39-25  2862  3  525 1827   58601   59903  26348 17224 1  5  4  2  145.275  145.272   0.000    0.439    0.437 100.000 211.599 OCC_SOL  SHORT    2018-JUL-15-08:47:58.55
0B2E01_2018-196T07-39-25  2862  5 1968 3188   61029   62249  26347 17151 1  5  4  2  145.279  145.278   0.000    0.436    0.435 100.000 211.612 OCC_SOL  SHORT    2018-JUL-15-09:17:40.57
0B3001_2018-196T11-35-08  2864  3  525 1791   74315   75581  26343 17117 1  5  4  2  145.274  145.271   0.000    0.439    0.437 100.000 211.699 OCC_SOL  SHORT    2018-JUL-15-12:43:35.60
0B7C01_2018-202T16-53-54  2940  3  499 1231    5153    5885  26396 18044 1  5  4  2  145.536  145.533   0.000    0.437    0.435 100.000 215.508 OCC_SOL  SHORT    2018-JUL-21-17:59:03.72
0B7C01_2018-202T16-53-54  2940  5 1488 2167    7934    8613  26402 18088 1  5  4  2  145.190  145.187   0.000    0.434    0.432 100.000 215.526 OCC_SOL  SHORT    2018-JUL-21-18:39:44.47
0B8001_2018-203T00-45-27  2944  3  495 1218   34727   35450  26376 18107 1  5  4  2  145.272  145.269   0.000    0.437    0.436 100.000 215.709 OCC_SOL  SHORT    2018-JUL-22-01:50:27.69
0B8001_2018-203T00-45-27  2944  5 1477 2149   37527   38199  26388 18107 1  5  4  2  145.541  145.538   0.000    0.434    0.432 100.000 215.727 OCC_SOL  SHORT    2018-JUL-22-02:31:25.67
0B8201_2018-203T04-41-08  2946  3  497 1212   49769   50484  26394 18073 1  5  4  2  145.300  145.270   0.000    0.437    0.436 100.000 215.810 OCC_SOL  SHORT    2018-JUL-22-05:46:11.71
0B8201_2018-203T04-41-08  2946  5 1473 2137   52566   53230  26388 18018 1  5  4  2  145.629  145.625   0.000    0.434    0.432 100.000 215.828 OCC_SOL  SHORT    2018-JUL-22-06:27:15.71
0B8801_2018-203T16-28-24  2952  3  497 1196   94059   94758  26455 16778 1  5  4  2  145.273  145.270   0.000    0.437    0.435 100.000 216.112 OCC_SOL  SHORT    2018-JUL-22-17:33:16.48
0B8801_2018-203T16-28-24  2952  5 1461 2112   96872   97523  26446 16620 1  5  4  2  145.278  145.275   0.000    0.434    0.432 100.000 216.130 OCC_SOL  SHORT    2018-JUL-22-18:14:42.53
0B8C01_2018-204T00-19-59  2956  3  495 1185  123701  124391  26488 15096 1  5  4  2  145.304  145.270   0.000    0.437    0.435 100.000 216.314 OCC_SOL  SHORT    2018-JUL-23-01:24:44.54
0B8C01_2018-204T00-19-59  2956  5 1450 2090  126507  127147  26473 15119 1  5  4  2  145.275  145.187   0.000    0.434    0.432 100.000 216.331 OCC_SOL  SHORT    2018-JUL-23-02:06:25.55
0B8F01_2018-204T06-13-32  2959  3  491 1171  145853  146533  26498  8565 1  5  4  2  145.185  145.182   0.000    0.437    0.436 100.000 216.465 OCC_SOL  SHORT    2018-JUL-23-07:18:20.51
0C2A01_2018-216T22-44-17  3114  2  833 1384   30269   30820  26286 17861 1  5  4  2  145.277  145.274   0.000    0.432    0.430 100.000 224.344 OCC_SOL  SHORT    2018-AUG-05-00:32:27.71
0CD301_2018-230T18-51-20  3283  3   85  963    2097    2975  26243 17495 1  5  4  2  145.181  145.179   0.000    0.430    0.429 100.000 232.994 OCC_SOL  SHORT    2018-AUG-18-19:57:15.48
0CD301_2018-230T18-51-20  3283  5 1004 1849    3297    4142  26245 17436 1  5  4  2  145.246  145.186   0.000    0.433    0.430 100.000 233.010 OCC_SOL  SHORT    2018-AUG-18-20:35:08.88
0CD501_2018-230T22-47-16  3285  3   85  974    6124    7013  26269 17962 1  5  4  2  145.269  145.266   0.000    0.430    0.428 100.000 233.097 OCC_SOL  SHORT    2018-AUG-18-23:53:08.52
0CD501_2018-230T22-47-16  3285  5 1013 1870    7319    8176  26275 17977 1  5  4  2  145.278  145.274   0.000    0.433    0.430 100.000 233.113 OCC_SOL  SHORT    2018-AUG-19-00:30:52.56
0D7D01_2018-244T17-06-59  3453  2 1498 2395    1915    2812  26247 14449 1  5  4  2  140.073   67.234   0.000    0.685    0.682 100.000 241.788 OCC_SOL  SHORT    2018-SEP-01-18:10:11.22
0D7D01_2018-244T17-06-59  3453  4 3052 3345    3470    3763  26250 14582 1  5  4  2   73.179   67.249   0.000    0.693    0.690 100.000 241.805 OCC_SOL  SHORT    2018-SEP-01-18:48:49.33
0D7E01_2018-244T19-04-52  3454  2 1495 1558    5346    5409  26250 12009 1  5  4  2   75.046   67.167   0.000    0.871    0.870 100.000 241.840 OCC_SOL  SHORT    2018-SEP-01-20:08:02.76
0D7F01_2018-244T21-02-47  3455  2 1493 1778    8112    8397  26267 15195 1  5  4  2   73.339   67.235   0.000    0.685    0.682 100.000 241.891 OCC_SOL  SHORT    2018-SEP-01-22:05:58.20
0D7F01_2018-244T21-02-47  3455  4 2405 2696    9024    9315  26262 14846 1  5  4  2   73.233   67.249   0.000    0.693    0.691 100.000 241.909 OCC_SOL  SHORT    2018-SEP-01-22:44:42.38
0D8201_2018-245T02-56-40  3458  2 1481 1762   16422   16703  26290 15736 1  5  4  2   73.475   67.235   0.000    0.685    0.682 100.000 242.047 OCC_SOL  SHORT    2018-SEP-02-03:59:50.66
0D8201_2018-245T02-56-40  3458  4 2391 2680   17332   17621  26291 15515 1  5  4  2   72.937   67.249   0.000    0.693    0.691 100.000 242.064 OCC_SOL  SHORT    2018-SEP-02-04:38:46.92
0D8301_2018-245T04-54-37  3459  2 1475 2353   19178   20056  26305 17831 1  5  4  2  139.703   67.318   0.000    0.429    0.422 100.000 242.099 OCC_SOL  SHORT    2018-SEP-02-05:57:44.18
0D8301_2018-245T04-54-37  3459  4 3062 3938   20767   21616  26303 17562 1  5  4  2  145.279  145.276   0.000    0.438    0.436 100.000 242.117 OCC_SOL  SHORT    2018-SEP-02-06:39:41.53
